name,latitude,longitude,num_chargers,charger_type,operator,address,city,postal_code,usage_cost
Metropolitan Towers,43.460806471349,-80.5126387088477,1,Level 2,SWTCH - Charge Everywhere,57 Union St E,Waterloo,N2J 1C1,Unknown
WATERLOO REGION,43.4637302,-80.5195925,1,Level 2,ChargePoint,100 Regina Street South,Waterloo,N2J 4A8,Unknown
William Street,43.463168,-80.519858,1,Level 2,flo,29 William Street East,Waterloo,N2L 1J4,Unknown
Christian Horizon - North Lot,43.467422,-80.518764,1,Level 2,flo,26 Peppler St,Waterloo,N2J 3C4,Unknown
Bridgeport Plaza,43.4701452479671,-80.5152106882865,1,Level 2,SWTCH - Charge Everywhere,70 Bridgeport Rd E,Waterloo,N2J 2J9,Unknown
Swtch Energy,43.47052,-80.513712,1,Level 2,SWTCH - Charge Everywhere,94 Bridgeport Rd E,Waterloo,N2J 2J9,Unknown
SWTCH Energy Inc.,43.4683,-80.5202,1,Level 2,SWTCH - Charge Everywhere,42 Bridgeport St E,Waterloo,N2J 0B3,Unknown
Marsland Centre Waterloo - 1,43.4656,-80.523779,1,Level 2,flo,20 Erb St. West,Waterloo,N2L 1T2,Unknown
14 Princess Street West,43.467101,-80.524105,1,Level 2,flo,14 Princess Street West,Waterloo,N2L 2X8,Unknown
WATERLOO,43.4644465,-80.5247975,1,Level 2,ChargePoint,48 ERB STREET WEST,Waterloo,N2T 2L6,Unknown
67 Erb Street,43.464049,-80.525836,1,Level 2,flo,67 Erb St West,Waterloo,N2L 6C2,Unknown
Moses Springer Community Centre,43.4737,-80.511656,1,Level 2,flo,150 Lincoln Road,Waterloo,N2J 4A8,Unknown
Delta Hotels By Marriott Waterloo,43.463396,-80.528903,1,Level 2,Tesla (Tesla-only charging),110 Erb St W,Waterloo,N2L 0C6,Unknown
Silver Lake Developments,43.46408,-80.52914,1,Level 2,Unknown,17 Barrel Yards Blvd,Waterloo,N2L 0E4,Unknown
University of Waterloo,43.474785,-80.521858,1,Level 2,Unknown,202 Regina St,Waterloo,N2J 3B6,Unknown
Wilfrid Laurier University - Bricker Academic Building,43.473043,-80.526193,1,Level 2,flo,75 University Avenue West,Waterloo,N2L 3C5,Unknown
Catalyst - Geotab,43.450672,-80.51226,1,Level 2,flo,137 Glasgow Street,Kitchener,N2G 4X8,Unknown
FLEETCARMA,43.4506323,-80.5121858,1,Level 2,ChargePoint,137 Glasgow St,Kitchener,N2G 4X8,Unknown
Waterloo Memorial Recreation Complex,43.464469,-80.531841,1,Level 2,flo,101 Father David Bauer Drive,Waterloo,N2L 0B4,Unknown
The Regional Municipality of Waterloo,43.4638941,-80.5323998,1,Level 2,Unknown,101 Father David Bauer Drive,Waterloo,N2L 6C2,Unknown
100 Father David Bauer,43.465079,-80.533596,1,Level 2,flo,100 Father David Boulevard,Waterloo,N2L 6M3,Unknown
WRDSB WESTMOUNT PUB,43.45,-80.521499,1,Level 2,ChargePoint,325 Glasgow St,Kitchener,N2M 2M9,Unknown
Wilfrid Laurier University - Peters Schlegel,43.473169,-80.530532,1,Level 2,flo,75 University Avenue West,Waterloo,N2L 3C5,Unknown
Conestoga College - Waterloo,43.479543,-80.518368,1,Level 2,flo,108 University Avenue,Waterloo,N2J 2W2,Unknown
HAZELVIEW 300 REGINA-2,43.478456,-80.523357,1,Level 2,ChargePoint,300 Regina St N,Waterloo,N2J 3B8,Unknown
Swtch Energy,43.463499,-80.535263,1,Level 2,SWTCH - Charge Everywhere,139 Father David Bauer Dr,Waterloo,N2L 6M1,Unknown
SWTCH Energy Inc.,43.4503,-80.501,1,Level 2,SWTCH - Charge Everywhere,100 Victoria St S,Kitchener,N2G 2B3,Unknown
Garment Street Condos,43.4500235026378,-80.501494009402,1,Level 2,SWTCH - Charge Everywhere,100 Victoria St S,Kitchener,N2G 2B3,Unknown
SWTCH Energy Inc.,43.4637,-80.5359,1,Level 2,SWTCH - Charge Everywhere,141 Father David Bauer Dr,Waterloo,N2L 6N9,Unknown
Wilfrid Laurier University,43.475956,-80.529925,1,Level 2,flo,75 University Ave W,Waterloo,N2L 3C5,Unknown
Urban Lofts,43.459231,-80.536434,1,Level 2,flo,98 Farley Drive,Guelph,,£1.50/hour
KITCHENER FRANCIS&JOSEPH,43.450498,-80.497499,1,Level 2,ChargePoint,44 Francis St S,Kitchener,N2G 2A2,Unknown
KITCHENER CITY HALL 2,43.451718,-80.492581,1,Level 2,ChargePoint,200 King St W,Kitchener,N2G 4V6,Unknown
SWTCH Energy Inc.,43.4464,-80.5024,1,Level 2,SWTCH - Charge Everywhere,205 Victoria St S,Kitchener,N2G 4Z7,Unknown
MANULIFEW CT4K-GW2,43.450677,-80.493832,1,Level 2,ChargePoint,25 Water St S,Kitchener,N2G 4Z4,Unknown
Westmount Signs and Printing Co,43.48208,-80.523674,1,Level 2,Unknown,347 Weber St N,Waterloo,N2J 3H8,Unknown
MANULIFEW CT4K-GW1,43.449603,-80.494919,1,Level 2,ChargePoint,25 Water St S,Kitchener,N2G 4Z4,Unknown
Waterloo Regional Police Service - North Division,43.48245112210601,-80.52302936915456,1,Level 2,flo,45 Columbia Street East,Waterloo,N2J 3H6,Unknown
University of Waterloo,43.469693,-80.539776,1,Level 2,Unknown,200 University Ave,Waterloo,N2L 3E9,Unknown
University of Waterloo,43.472984,-80.53837,3,Level 3,flo,263 Philip St.,Waterloo,N2L 3G1,Unknown
Corporation of the City of Kitchener,43.44451,-80.500569,1,Level 2,Unknown,32 Dill street,Kitchener,N2G 1L1,Unknown
HAZELVIEW 200 SHAKESPEARE,43.463894,-80.54285,1,Level 2,ChargePoint,200 Shakespeare Dr,Waterloo,N2L 6C1,Unknown
KITCHENER 33 ONTARIO STR,43.450815,-80.489409,1,Level 2,ChargePoint,33 Ontario St N,Kitchener,N2H,Unknown
University of Waterloo,43.474855,-80.539234,1,Level 2,Unknown,295 Phillip Street,Waterloo,N2L 3W8,Unknown
KITCHENER CIVICDISTRICTR,43.452705,-80.486785,1,Level 2,ChargePoint,74 Queen St N,Kitchener,N2H 2H3,Unknown
The Regional Municipality of Waterloo,43.4545712,-80.4853438,1,Level 2,Unknown,83 Queen St. N,Kitchener,N2H 0A9,Unknown
FLO - Canadian Tire - Waterloo,43.485057,-80.523934,3,Level 3,flo,400 Weber St N,Waterloo,N2J 3J3,$20.00 (CAD) per hour
University of Waterloo,43.474348,-80.541305,1,Level 2,Unknown,185 Columbia Street West,Waterloo,N2L 5Z5,Unknown
Conrad Grebel University College,43.465947,-80.544603,1,Level 2,flo,140 Westmount Road N,Waterloo,N2L 3G6,Unknown
KITCHENER,43.4485573,-80.4885975,1,Level 2,ChargePoint,4 Charles Street East,Kitchener,N2G,Unknown
CROWNE PLAZA KW STATION 2,43.448654,-80.4875,1,Level 2,ChargePoint,105 King St E,Kitchener,N2G 2K8,Unknown
Wildcraft Grill Bar,43.4866257,-80.5276539,1,Level 2,Tesla (Tesla-only charging),425 King St N,Waterloo,N2J 2Z5,Free
The Regional Municipality of Waterloo,43.4494489,-80.4846958,1,Level 2,Unknown,50 Duke St. E.,Kitchener,N2H 1A7,Unknown
"WTC1 Inc. – 412 Albert St, Waterloo",43.4825874373422,-80.5370360442218,1,Level 2,flo,412 Albert St,Waterloo,N2L 3V3,Unknown
415 Phillip St.,43.479183,-80.541837,1,Level 2,flo,415 Phillip St,Waterloo,N2L 3X2,Unknown
419 Phillip St.,43.479841,-80.542035,1,Level 2,flo,419 Phillip St,Waterloo,N2L 3X2,Unknown
Economical Insurance - Riverbend,43.475499,-80.479917,1,Level 2,flo,590 Riverbend Dr.,Kitchener,N2K 3S2,Unknown
KITCHENER KITCHENERMARKET,43.448027,-80.483663,1,Level 2,ChargePoint,300 King St E,Kitchener,N2H 2V5,Unknown
MONTEZ STATION 2,43.48213,-80.543086,1,Level 2,ChargePoint,451 Phillip St,Waterloo,N2L 3X2,Unknown
Pano - 54 Bridge St,43.48391,-80.485066,1,Level 2,flo,54 Bridge Street West,Kitchener,N2K 0G4,Unknown
MANULIFEW 0997B5,43.491124,-80.525995,1,Level 2,ChargePoint,500 King St N,Waterloo,N2J 4C6,Unknown
MONTEZ STATION 1,43.482461,-80.543297,1,Level 2,ChargePoint,451 Phillip St,Waterloo,N2L 3X2,Unknown
Tesla/NACS Supercharger - Kitchener,43.461251,-80.472322,1,Level 3,Tesla (including non-tesla),663 Victoria Street North,Kitchener,N2H 5G3,"Average $0.60/kWh (Tesla), $0.90/kWh (non-Tesla). Rates are frequently adjusted based on demand. For up-to-date information see Tesla mobile app."
The Cora Group (Public),43.478722,-80.550439,1,Level 2,flo,375 Hagey Boulevard,Waterloo,N2L 6R5,Unknown
Scotiabank Waterloo,43.453863,-80.553791,2,Level 3,EV Connect,12 Fischer-Hallman Road N.,Waterloo,N2L 2X3,Unknown
445 Wes. Graham,43.480929,-80.551256,1,Level 2,flo,445 Wes Graham Way,Waterloo,N2L 6R2,Unknown
HAZELVIEW 400 PARK,43.486526,-80.545975,1,Level 2,ChargePoint,400 Parkside Dr,Waterloo,N2L 6E5,Unknown
Swtch Energy,43.4923618,-80.5376681,1,Level 2,SWTCH - Charge Everywhere,510 Weber St N,Waterloo,N2L 4C6,Unknown
"AMCC, 500 Parkside Drive, Waterloo Ontario",43.489529,-80.54446,1,Level 2,flo,500 Parkside Drive,Waterloo,N2L 5J4,Unknown
WNCC 163 C/O Wilson Blanchard Management,43.431037,-80.524309,1,Level 2,flo,266 Overlea Drive,Kitchener,N2M 5N2,Unknown
550 King St N,43.49808121,-80.52749634,2,Level 2,ChargePoint,550 King St N,Waterloo,N2L 5W6,Unknown
VOLVOOFWATERLOO STATION 1,43.497736,-80.531049,1,Level 2,ChargePoint,533 King St N,Waterloo,N2L 5Z6,Unknown
Conestoga Mall,43.498917,-80.52639,1,Level 2,flo,550 King St N,Waterloo,N2L 5W6,Unknown
KITCHENER THE AUD (RIGHT),43.447111,-80.467199,1,Level 2,ChargePoint,1963 Eugene George Way,Kitchener,N2H 1Z6,Unknown
Katlyn International,43.498377,-80.533921,1,Level 2,Unknown,410 Conestogo Rd,Waterloo,N2L 4E2,Unknown
The Regional Municipality of Waterloo,43.42537,-80.5112,1,Level 2,Unknown,Francis St. S. & Joseph St.,Kitchener,N2M 4Z2,Unknown
First Capital Asset Management LP,43.46777,-80.56686,1,Level 2,Unknown,440 Columbia St W,Waterloo,N2T 2W1,Unknown
FORBES MAZDA CPF50,43.497478,-80.542167,1,Level 2,ChargePoint,115 Northfield Dr W,Waterloo,N2L 6K1,Unknown
Swtch Energy,43.467347,-80.567634,1,Level 2,SWTCH - Charge Everywhere,450 Columbia St W,Waterloo,N2T 2W1,Unknown
Waterloo Nissan,43.497011,-80.545283,1,Level 2,Unknown,141 Northfield Dr W,Waterloo,N2L 5A6,Unknown
Laurelwood Shopping Centre,43.4681319638009,-80.5686314238058,1,Level 2,SWTCH - Charge Everywhere,440-450 Columbia St W,Waterloo,N2T 2W1,Unknown
Waterloo Kia,43.500225,-80.538741,1,Level 2,Unknown,583 Colby Dr,Waterloo,N2V 1A1,Unknown
KITCHENER FH1 PUBLIC,43.423729,-80.489396,1,Level 2,ChargePoint,270 Strasburg Rd,Kitchener,N2E 3M6,Unknown
WRDSB 51 ARDELT,43.427277,-80.48002,1,Level 2,ChargePoint,51 Ardelt Ave,Kitchener,N2C 2R5,Unknown
Recipe Unlimited Corp,43.4394943,-80.563286,1,Level 2,Unknown,"410 The Boardwalk,",Waterloo,N2T 0A6,Unknown
Jule - Zehrs Laurentian,43.42411557,-80.48717127,2,Level 3,Jule,750 Waterloo Regional Rd 4,Kitchener,N2E 1B6,Unknown
97 Randall,43.500804,-80.547361,1,Level 2,flo,97 Randall Dr,Waterloo,N2V 1C5,Unknown
99 Randall,43.501611,-80.547639,1,Level 2,flo,99 Randall Dr,Waterloo,N2V 1C5,Unknown
600 Weber Street,43.49988,-80.55104,1,Level 2,flo,600 Weber Street North,Waterloo,N2V 1K4,Unknown
Bingemans Inc,43.475271,-80.452244,1,Level 2,flo,425 Bingemans Centre Drive,Kitchener,N2B 3X7,Unknown
The Boardwalk,43.435851,-80.562444,1,Level 2,Tesla (Tesla-only charging),235 the Boardwalk,Waterloo,N2T 0A6,Unknown
101 Randall,43.502417,-80.548028,1,Level 2,flo,101 Randall Dr,Waterloo,N2V 1C5,Unknown
Crosschasm Technologies,43.508371,-80.53106,1,Level 2,flo,2-60 Northland Road,Waterloo,N2V 2B8,CAD 1.00/hour
Electric Vehicle Network Incorporated,43.4385962377663,-80.4601054882417,1,Level 2,Unknown,801 Webber Street East,Kitchener,N2H 1H5,Unknown
103 Randall,43.502172,-80.549322,1,Level 2,flo,103 Randall Drive,Waterloo,N2V 1C5,Unknown
Ontario Charging Network LP Canadian Tire,43.44774,-80.57394,2,Level 3,Unknown,656 Erb St W,Waterloo,N2T 2Z7,Unknown
GRT STATION 1,43.51539,-80.52095,1,Level 2,ChargePoint,300 Northfield Dr E,Waterloo,N2V 2G4,Unknown
Swtch Energy,43.44937500613663,-80.44461354365538,1,Level 2,SWTCH - Charge Everywhere,1005 Ottawa St N,Kitchener,N2A 1H2,Unknown
Circle K - Kitchener,43.4710277334037,-80.44223198105254,1,Level 3,Circle K,1445 Victoria Street North,Kitchener,N2B 3S8,$0.49/kWh
Homewood Suites by Hilton,43.507344,-80.552876,1,Level 2,Unknown,45 Benjamin Rd,St. Jacobs,N2V 0C6,Unknown
